start_station_name,member_casual,number_of_rides
Augusta Blvd & Laramie Ave,member,1
Base - 2132 W Hubbard,member,1
Buckingham Fountain (Michigan/11th),casual,1
Cicero Ave & Wellington Ave,member,1
Kildare Ave & 85th St,member,1
Knox Ave & Marquette Ave,casual,1
Lavergne Ave & 46th St,member,1
Lawler Ave & North Ave,casual,1
Lexington & California Ave,member,1
OH - BONFIRE - TESTING,member,1
Public Rack - 10557 S Western Ave,member,1
Public Rack - 2302 S Pulaski Rd,member,1
Public Rack - 53rd St & Indiana Ave,member,1
Public Rack - 63rd & Western Ave S,casual,1
Public Rack - 83rd Pl & Kedzie Ave N,casual,1
Public Rack - 83rd Pl & Kedzie Ave N,member,1
Public Rack - Ada St & 117th St,casual,1
Public Rack - Ada St & 119th St,member,1
Public Rack - Aida Food Market,member,1
Public Rack - Ashburn Metra,casual,1
Public Rack - Ashland Ave & 46th St,casual,1
Public Rack - Ashland Ave & 74th St,member,1
Public Rack - Ashland Ave & 76th St,member,1
Public Rack - Ave N & 106th St,member,1
Public Rack - Back of the Yards Park,member,1
Public Rack - Baker Ave & 863rd Pl,member,1
Public Rack - Baltimore Ave & 132nd St,member,1
Public Rack - Baltimore Ave & 134th St,casual,1
Public Rack - Baltimore Ave & 134th St,member,1
Public Rack - Brainerd Park,member,1
Public Rack - Brooks Park,member,1
Public Rack - Calumet Ave & 133rd St,casual,1
Public Rack - Central Ave & Adams St,casual,1
Public Rack - Central Ave & Adams St,member,1
Public Rack - Central Park Ave & Fulton Blvd,member,1
Public Rack - Christiana Ave & 55th St,casual,1
Public Rack - Cicero Ave & Le Moyne St - midblock,member,1
Public Rack - Columbus & 79th,member,1
Public Rack - Cottage Grove & 84th St,casual,1
Public Rack - Cottage Grove Ave & 91st St,member,1
Public Rack - Cottage Grove Ave & 98th St,casual,1
Public Rack - Crandon Ave & 80th St,casual,1
Public Rack - Damen Ave & 84th St,casual,1
Public Rack - Damen Ave & 84th St,member,1
Public Rack - Devon Ave & Kinzua Ave,casual,1
Public Rack - East End Ave & 75th St,member,1
Public Rack - East End Ave & 87th St,casual,1
Public Rack - Emerald Ave & 45th St,casual,1
Public Rack - Emerald Ave & 45th St,member,1
Public Rack - Ewing Ave & 101st St,casual,1
Public Rack - Ewing Ave & 101st St,member,1
Public Rack - Ewing Ave & 102nd St,casual,1
Public Rack - Ewing Ave & 102nd St,member,1
Public Rack - Ewing Ave & 105th St,casual,1
Public Rack - Ewing Ave & 106th St,member,1
Public Rack - Ewing Ave & 106th St NW,casual,1
Public Rack - Ewing Ave & 107th St,member,1
Public Rack - Ewing Ave & 95th St,member,1
Public Rack - Ewing Ave & 96th St N,member,1
Public Rack - Grand Ave & North Ave,member,1
Public Rack - Hale Ave & 111th St,casual,1
Public Rack - Hale Ave & 111th St,member,1
Public Rack - Halsted St & 113th St,member,1
Public Rack - Halsted St & 77th St,member,1
Public Rack - Halsted St & 80th St,member,1
Public Rack - Halsted St & 94th St,member,1
Public Rack - Hamilton Park,casual,1
Public Rack - Hamilton Park,member,1
Public Rack - Hamlin Ave & Chicago Ave,member,1
Public Rack - Harlem & Summerdale,casual,1
Public Rack - Harlem & Summerdale,member,1
Public Rack - Harlem and W. 59th,casual,1
Public Rack - Harriet E Sayre Public School,member,1
Public Rack - Harvey Ave & North Ave,casual,1
Public Rack - Hiawatha Park,member,1
Public Rack - Higgins Ave & Neva Ave,member,1
Public Rack - Honore St & 87th St,member,1
Public Rack - Horner & 85th,casual,1
Public Rack - Horner & 85th,member,1
Public Rack - Houston Ave & 91st St,casual,1
Public Rack - Independence Blvd & Roosevelt,member,1
Public Rack - Ingleside Ave & 79th St,member,1
Public Rack - Jeffery Blvd & 81st St,member,1
Public Rack - Jeffery Blvd & 83rd St,casual,1
Public Rack - Karlov Ave & 26th St,member,1
Public Rack - Kedzie & 71st,member,1
Public Rack - Kedzie & 73rd,member,1
Public Rack - Keef Ave & South Chicago Ave,member,1
Public Rack - Keeler Ave & 55th St,casual,1
Public Rack - Keeler Ave & Madison St S,member,1
Public Rack - Kenneth Ave & 63rd St E,member,1
Public Rack - Kildare Ave & 63rd St,member,1
Public Rack - Kimbark Ave & 67th St,member,1
Public Rack - King Dr & Oakwood Blvd,member,1
Public Rack - Kolin Ave & Archer Ave,member,1
Public Rack - Kostner & Peterson,casual,1
Public Rack - Kostner Ave & 16th St,member,1
Public Rack - Kostner Ave & Lake St,casual,1
Public Rack - Kostner Ave & Lake St,member,1
Public Rack - Lafayette Ave & 119th St,casual,1
Public Rack - Lafayette Ave & 87th St SW,casual,1
Public Rack - Laflin St & 79th St,member,1
Public Rack - Lake Park Ave & 44th St,casual,1
Public Rack - Lamon Ave & Erie St,member,1
Public Rack - Lawndale & 63rd St,casual,1
Public Rack - Linder & Elston,member,1
Public Rack - Linder Ave & 64th Pl,member,1
Public Rack - Linder Ave & Belmont Ave,member,1
Public Rack - Longwood Dr & 111th St,member,1
Public Rack - Loomis Blvd & 47th St,member,1
Public Rack - Loomis Blvd & 83rd St,member,1
Public Rack - Mackinaw Ave & 106th St,member,1
Public Rack - Mackinaw Ave & 108th St,member,1
Public Rack - Maplewood Ave & 63rd St,member,1
Public Rack - Marquette Ave & 79th St,casual,1
Public Rack - Marquette Ave & 79th St,member,1
Public Rack - Martin Luther King Dr & 69th St,member,1
Public Rack - Mason Ave & Milwaukee Ave,member,1
Public Rack - May St & 63rd St,member,1
Public Rack - May St & 78th St,casual,1
Public Rack - May St & 78th St,member,1
Public Rack - McVicker Ave & Grand Ave,casual,1
Public Rack - Meade Ave & Archer Ave,member,1
Public Rack - Menard Ave & Agusta Blvd,casual,1
Public Rack - Menard Ave & Leland Ave,member,1
Public Rack - Menard Ave & Madison St,casual,1
Public Rack - Michigan Ave & 107th St,member,1
Public Rack - Michigan Ave & 110th St,casual,1
Public Rack - Michigan Ave & 110th St,member,1
Public Rack - Michigan Ave & 119th St,member,1
Public Rack - Michigan Ave & 67th St,member,1
Public Rack - Minuteman Park,member,1
Public Rack - Mulligan & Northwest Hwy,casual,1
Public Rack - Neenah & Archer,member,1
Public Rack - Newcastle & Archer,member,1
Public Rack - Newcastle Ave & Wellington Ave,member,1
Public Rack - Newland Ave & Diversey Ave,member,1
Public Rack - Nina Ave & Avondale Ave,member,1
Public Rack - Nordica Ave & Addison St,casual,1
Public Rack - Nordica Ave & Addison St,member,1
Public Rack - Normandy Ave & Raven St,member,1
Public Rack - Northwest Hwy & Highland Ave,casual,1
Public Rack - Northwest Hwy & Overhill Ave,casual,1
Public Rack - Oak Park Ave & Foster Ave,casual,1
Public Rack - Oglesby Ave & 105th St,casual,1
Public Rack - Oglesby Ave & 95th St,casual,1
Public Rack - Oleander Ave & Addison St,casual,1
Public Rack - Ozark Ave & Addison St,member,1
Public Rack - Paul Revere Elementary School,member,1
Public Rack - Paxton Ave & 79th St,casual,1
Public Rack - Peoria St & 60th St,member,1
Public Rack - Pittsburgh Ave & Irving Park,member,1
Public Rack - Prairie Ave & 78th St,member,1
Public Rack - Prairie Ave & 85th St,member,1
Public Rack - Princeton Ave & 43rd St,casual,1
Public Rack - Princeton Ave & 99th Pl,casual,1
Public Rack - Pulaski & 52nd,member,1
Public Rack - Pulaski & 84th,member,1
Public Rack - Pulaski Rd & 15th St,casual,1
Public Rack - Pulaski Rd & 40th St,casual,1
Public Rack - Pulaski Rd & 41st,member,1
Public Rack - Pulaski Rd & 5th Ave,casual,1
Public Rack - Pulaski Rd & 83rd St,member,1
Public Rack - Pulaski Rd & 85th St,casual,1
Public Rack - Pulaski Rd & 85th St,member,1
Public Rack - Pulaski Rd & Flournoy St,casual,1
Public Rack - Pulaski Rd & Grenshaw St,casual,1
Public Rack - Pullman - Planet Fitness,member,1
Public Rack - Pullman - Ross Dress for Less,casual,1
Public Rack - Racine Ave & 76th,member,1
Public Rack - Racine Ave & 83rd St,member,1
Public Rack - Rhodes Ave & 79th St,member,1
Public Rack - Richmond St & Thorndale Ave,member,1
Public Rack - Robert Fulton Elementary School,member,1
Public Rack - Rockwell Ave & 71st St,member,1
Public Rack - Roscoe St & Osceola Ave,member,1
Public Rack - Rutherford & 53rd,member,1
Public Rack - S. Kilpatrick and W. 79th,member,1
Public Rack - Sacramento & 71st,member,1
Public Rack - Sangamon St & 79th St,member,1
Public Rack - Sangamon St & 87th St,casual,1
"Public Rack - Senka ""Edward Duke"" Park",casual,1
Public Rack - South Shore High School,casual,1
Public Rack - Spaulding Ave & 71st St,casual,1
Public Rack - Spaulding Ave & Foster Ave,casual,1
Public Rack - Springfield & 71st,member,1
Public Rack - Springfield Ave & 63rd St,member,1
Public Rack - Stewart Ave & 123rd St,member,1
Public Rack - Stony Is Ave & 73rd St,casual,1
Public Rack - Stony Island & 87th St,casual,1
Public Rack - Talman Ave & 51st St,member,1
Public Rack - Throop St & 48t ST,casual,1
Public Rack - Torrence Ave & 103rd St,casual,1
Public Rack - Troy & 111th St,casual,1
Public Rack - Vincennes Ave & 87th St,member,1
Public Rack - Vincennes Ave & 99th St,member,1
Public Rack - Wabash Ave & 87th St,member,1
Public Rack - Walden Pkwy & 99th St,member,1
Public Rack - Washtenaw Ave & 63rd St,member,1
Public Rack - Wentworth Ave & 79th St,casual,1
Public Rack - Wentworth Park,member,1
Public Rack - Western & 74th,member,1
Public Rack - Western Ave & 105th St,member,1
Public Rack - Western Ave & 106th St - East,member,1
Public Rack - Western Ave & 107th Pl,member,1
Public Rack - Western Ave & 111th St - NW,member,1
Public Rack - Western Ave & 111th St - SE,casual,1
Public Rack - Western Ave & 118th St,member,1
Public Rack - Western Ave & 79th St,member,1
Public Rack - Western Ave & 98th St,member,1
Public Rack - Western Blvd & 53rd St,casual,1
Public Rack - Western Blvd & 53rd St,member,1
Public Rack - Wilbur Wright College North,casual,1
Public Rack - William J Onahan Public School,casual,1
Public Rack - Wolcott Ave & 56th St,casual,1
Public Rack - Wrightwood Metra Station,casual,1
Public Rack - Yates Ave & 100th St,member,1
Public Rack - Yates Blvd & Exchange Ave,casual,1
Public Rack - Zapata Academy,casual,1
Pulaski Rd & 68th St,member,1
Spaulding Ave & 63rd,member,1
St. Louis & 71st St,member,1
State St & 123rd St,member,1
Altgeld Gardens,member,2
Archer Ave & Homan Ave,member,2
Glenlake Ave & Pulaski Rd,casual,2
Kedzie Ave & 104th St,member,2
Kedzie Ave & 83rd St,member,2
Kedzie Ave & Archer Ave,member,2
Kildare & Chicago Ave,member,2
Meade Ave & Fullerton Ave,member,2
Mozart St & 79th St,casual,2
OH Charging Stx - Test,casual,2
Panama Ave & Grace St,member,2
Paulina Ave & 87th St,member,2
Plainfield & Irving Park,member,2
Public Rack - 10101 S Stony Island Ave,casual,2
Public Rack - 63rd & Western Ave S,member,2
Public Rack - 63rd St and Nagle Ave,member,2
Public Rack - 83rd St (Avalon Park) Metra,casual,2
Public Rack - 85th Pl & Pulaski Rd,casual,2
Public Rack - Ada St & 119th St,casual,2
Public Rack - Aida Food Market,casual,2
Public Rack - Al Raby School,member,2
Public Rack - Archer Park,casual,2
Public Rack - Ashland Ave & 83rd St,casual,2
Public Rack - Austin Branch Chicago Public Library,casual,2
Public Rack - Avenue M & 132nd St,member,2
Public Rack - Avers Ave & Archer Ave,member,2
Public Rack - Brighton Park Branch Chicago Library,casual,2
Public Rack - Calumet Ave & 103rd St,casual,2
Public Rack - Canfield & Victoria,casual,2
Public Rack - Central Park Ave & Fillmore St,casual,2
Public Rack - Central Park Ave & Ogden Ave,casual,2
Public Rack - Champlain Ave & 134th St,casual,2
Public Rack - Cicero & 64th,member,2
Public Rack - Cicero Ave & Le Moyne St - midblock,casual,2
Public Rack - Commercial Ave & 89th St,casual,2
Public Rack - Cottage Grove & 85th St,casual,2
Public Rack - Cottage Grove Ave & 87th St,casual,2
Public Rack - Damen & 81st,casual,2
Public Rack - Damen & 87th,casual,2
Public Rack - Damen & 87th,member,2
Public Rack - Devon Ave & Central Ave,casual,2
Public Rack - Devon Ave & Central Ave,member,2
Public Rack - Devon Ave & Minnehaha Ave (east),member,2
Public Rack - Eberhart Ave & 61st St,member,2
Public Rack - Ewing Ave & 105th St,member,2
Public Rack - Ewing Ave & 96th St S,casual,2
Public Rack - Fairfield Ave & 63rd St,member,2
Public Rack - Ford City Mall,member,2
Public Rack - Grand Ave & North Ave,casual,2
Public Rack - Halsted St & 64th St,member,2
Public Rack - Hamlin Ave & Chicago Ave,casual,2
Public Rack - Higgins Ave & Neva Ave,casual,2
Public Rack - Homan & 79th,member,2
Public Rack - Homan Ave & 26th St,member,2
Public Rack - Homan Ave & Roosevelt,casual,2
Public Rack - Houston Ave & 131st St,member,2
Public Rack - Houston Ave & 91st St,member,2
Public Rack - Hoyne Ave & 51st St,member,2
Public Rack - Independence Blvd & Roosevelt,casual,2
Public Rack - Irving Park Rd & Melvina Ave,member,2
Public Rack - James Madison School,casual,2
Public Rack - Justine St & 87th St,member,2
Public Rack - Kedvale Ave & 26th St,casual,2
Public Rack - Kedvale Ave & Addison St,member,2
Public Rack - Kedzie & 103rd St - East,casual,2
Public Rack - Kedzie Ave & 54th Pl,member,2
Public Rack - Kedzie Ave & 64th St - SE,member,2
Public Rack - Kedzie Ave & Walnut St,casual,2
Public Rack - Kilbourn Ave & Fullerton Ave,casual,2
Public Rack - Kildare Ave & Division Ave,casual,2
Public Rack - Kingston Ave & 75th St,member,2
Public Rack - Komensky Ave & 26th St,member,2
Public Rack - Laflin St & 79th St,casual,2
Public Rack - Lake Park Ave & 44th St,member,2
Public Rack - Lake Shore Dr & Hayes Dr,casual,2
Public Rack - Lawndale Ave & Polk St,casual,2
Public Rack - Leclaire Ave & Division St,member,2
Public Rack - Longwood Dr & 95th St,casual,2
Public Rack - Longwood Dr & 95th St,member,2
Public Rack - Loomis Blvd & 47th St,casual,2
Public Rack - Loomis Blvd & 83rd St,casual,2
Public Rack - Loomis St & 87th St,member,2
Public Rack - Lorel Ave & Chicago Ave,casual,2
Public Rack - Lowe Ave & 94th St,casual,2
Public Rack - Mackinaw Ave & 106th St,casual,2
Public Rack - Mackinaw Ave & 108th St,casual,2
Public Rack - Marquette Rd & 67th St,member,2
Public Rack - Mason & Archer,casual,2
Public Rack - May St & 63rd St,casual,2
Public Rack - Menard Ave & Agusta Blvd,member,2
Public Rack - Menard Ave & Leland Ave,casual,2
Public Rack - Michele Clark Magnet High School,member,2
Public Rack - Michigan Ave & 107th St,casual,2
Public Rack - Michigan Ave & 119th St,casual,2
Public Rack - Michigan Ave & 67th St,casual,2
Public Rack - Mulligan & Northwest Hwy,member,2
Public Rack - Mulligan Ave & 56th St,member,2
Public Rack - N Sayre Ave & W Belden Ave,casual,2
Public Rack - Neenah & Dakin,member,2
Public Rack - Newcastle Ave & Belden Ave,member,2
Public Rack - Newcastle Ave & Belmont Ave,member,2
Public Rack - Northwest Hwy & Raven St,member,2
Public Rack - Oak Park & Higgins,member,2
Public Rack - Oketo & Northwest Hwy,casual,2
Public Rack - Oketo & Northwest Hwy,member,2
Public Rack - Ottowa Ave & Touhy Ave,member,2
Public Rack - Perry Ave & 108th Pl,member,2
Public Rack - Peterson Ave & Bernard Ave,casual,2
Public Rack - Peterson Ave & Drake Ave,casual,2
Public Rack - Piotrowski Park,member,2
Public Rack - Pratt Ave & Odell Ave,member,2
Public Rack - Pulaski & 74th,casual,2
Public Rack - Pulaski Rd & 15th St,member,2
Public Rack - Pulaski Rd & Roosevelt Rd,member,2
Public Rack - Pullman Community Center,member,2
Public Rack - Roscoe St & Osceola Ave,casual,2
"Public Rack - Senka ""Edward Duke"" Park",member,2
Public Rack - Springfield & 79th,member,2
Public Rack - Stony Is Ave & 73rd St,member,2
Public Rack - Torrence Ave  & 106th St,casual,2
Public Rack - Vincennes Ave & 77th St,casual,2
Public Rack - Vincennes Ave & 95th Pl,casual,2
Public Rack - Vincennes Ave & 99th St,casual,2
Public Rack - Washtenaw Ave & 63rd St,casual,2
Public Rack - Wentworth Ave & 103rd St,member,2
Public Rack - Wentworth Ave & 79th St,member,2
Public Rack - Western Ave & 106th St - West,casual,2
Public Rack - Western Ave & 111th St - SE,member,2
Public Rack - Western Ave & 79th St,casual,2
Public Rack - Western Ave & 98th St,casual,2
Public Rack - Wilbur Wright College North,member,2
Public Rack - William J Onahan Public School,member,2
Public Rack - Winchester Ave & 87th St,casual,2
Rockwell St & 63rd St,member,2
Scottsdale Park,member,2
St Louis Ave & Norman Bobbins Pl,member,2
Torrence Ave & 126th Pl,member,2
Wentworth Ave & 104th St,member,2
Wood St & 84th St,member,2
Woodlawn & 103rd,member,2
California Ave & 41st St,member,3
La Villita Park,member,3
Major Ave & Addison St,casual,3
Parkside Ave & Armitage Ave,member,3
Pershing Rd & Sacramento Ave,member,3
Pittsburgh Ave & Irving Park Rd,member,3
Public Rack - 2302 S Pulaski Rd,casual,3
Public Rack - 56th St & Mulligan Ave,member,3
Public Rack - 63rd & Western Ave N,member,3
Public Rack - Albany Ave & 111th St - NW,casual,3
Public Rack - Artesian & 71st,member,3
Public Rack - Ashland Ave & 46th St,member,3
Public Rack - Ashland Ave & 71st St,member,3
Public Rack - Ashland Ave & 76th St,casual,3
Public Rack - Austin & 62nd,casual,3
Public Rack - Austin Blvd & North Ave,member,3
Public Rack - Austin Branch Chicago Public Library,member,3
Public Rack - Avenue J & 106th St,casual,3
Public Rack - Avenue J & 106th St,member,3
Public Rack - Avenue J & 112th St,casual,3
Public Rack - Brandon Ave & 91st St,casual,3
Public Rack - Brighton Park Branch Chicago Library,member,3
Public Rack - Calumet Ave & 71st St,member,3
Public Rack - Central & Prescott,member,3
Public Rack - Chase Ave & Touhy Ave - NE,casual,3
Public Rack - Chase Ave & Touhy Ave - NW,casual,3
Public Rack - Chase Ave & Touhy Ave - NW,member,3
Public Rack - Christiana Ave & Archer Ave,member,3
Public Rack - Cicero Ave & Wellington Ave,member,3
Public Rack - Cornell Ave & 87th Pl,casual,3
Public Rack - Cottage Grove & 84th St,member,3
Public Rack - East End Ave & 75th St,casual,3
Public Rack - Ewing Ave & 106th St NW,member,3
Public Rack - Exchange Ave & 73rd Pl,casual,3
Public Rack - Fullerton Ave & Lavergne Ave,member,3
Public Rack - Halsted St & 102nd St,casual,3
Public Rack - Halsted St & 109th St,member,3
Public Rack - Halsted St & 41st St,casual,3
Public Rack - Halsted St & 95th St - SW,casual,3
Public Rack - Harlem & Palatine,member,3
Public Rack - Homan & 77th,casual,3
Public Rack - Homan Ave & Roosevelt,member,3
Public Rack - Indiana Ave & 111th St,member,3
Public Rack - Karlov Ave & 26th St,casual,3
Public Rack - Kedvale Ave & 26th St,member,3
Public Rack - Kedvale Ave & Peterson Ave,casual,3
Public Rack - Kedzie & 71st,casual,3
Public Rack - Kedzie Ave & 54th Pl,casual,3
Public Rack - Kedzie Ave & 54th St - SW,member,3
Public Rack - Kedzie Ave & 64th St - SE,casual,3
Public Rack - King Dr & Oakwood Blvd,casual,3
Public Rack - Kingston Ave & 75th St,casual,3
Public Rack - Laflin St & 51st St,casual,3
Public Rack - Laflin St &51st ST,casual,3
Public Rack - Lake Park Ave & 47th St,casual,3
Public Rack - Lake Shore Dr & Hayes Dr,member,3
Public Rack - Lawndale Ave & 63rd St,casual,3
Public Rack - Leland Ave & Melvina Ave,member,3
Public Rack - Leoti Ave & Central Ave (south),casual,3
Public Rack - Linder & 51st,member,3
Public Rack - Mason Ave & Archer Ave,casual,3
Public Rack - Mason Ave & Roosevelt Rd,casual,3
Public Rack - Minnehaha Ave & Devon Ave,casual,3
Public Rack - Mont Clare Ave & Higgins Ave,casual,3
Public Rack - Newcastle Ave & Belden Ave,casual,3
Public Rack - Newcastle Ave & Wellington Ave,casual,3
Public Rack - Normal Blvd & 61st Pl,casual,3
Public Rack - Normal Blvd & 61st Pl,member,3
Public Rack - Normandy Ave & Archer Ave,member,3
Public Rack - Northwest Hwy & Neva Ave,casual,3
Public Rack - Octavia Ave & Touhy Ave,casual,3
Public Rack - Oketo & Talcott,casual,3
Public Rack - Ozanam Ave & Devon Ave,casual,3
Public Rack - Ozanam Ave & Devon Ave,member,3
Public Rack - Parkside & 63rd,member,3
Public Rack - Parkside & Elston,member,3
Public Rack - Parnell Ave & 98th St,casual,3
Public Rack - Paul Revere Elementary School,casual,3
Public Rack - Paxton Ave & 79th St,member,3
Public Rack - Peterson Ave & Drake Ave,member,3
Public Rack - Piotrowski Park,casual,3
Public Rack - Pittsburgh Ave & Irving Park,casual,3
Public Rack - Prairie Ave & 78th St,casual,3
Public Rack - Princeton Ave & 43rd St,member,3
Public Rack - Pulaski & Ardmore,casual,3
Public Rack - Pulaski Rd & Lake St,member,3
Public Rack - Pulaski Rd & Roosevelt Rd,casual,3
Public Rack - Pullman - Planet Fitness,casual,3
Public Rack - Pullman - Walmart,member,3
Public Rack - Richard Daley College,member,3
Public Rack - Rockwell Ave & 71st St,casual,3
Public Rack - S Menard & W 63rd,member,3
Public Rack - Sacramento Blvd & Washington Blvd,member,3
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,member,3
Public Rack - South Shore High School,member,3
Public Rack - Spaulding Ave & 71st St,member,3
Public Rack - Springfield Ave & 63rd St,casual,3
Public Rack - Touhy Ave & Oconto Ave,member,3
Public Rack - Tuley (Murray) Park,casual,3
Public Rack - Tuley (Murray) Park,member,3
Public Rack - W. Talcott & N. Oriole,member,3
Public Rack - Wabash Ave & 87th St,casual,3
Public Rack - Western & 79th,member,3
Public Rack - Western Ave & 104th St - West,member,3
Public Rack - Western Ave & 107th Pl,casual,3
Public Rack - Western Ave & 118th St,casual,3
S Michigan Ave & E 118th St,member,3
S Wentworth Ave & W 111th St,member,3
Sayre Ave & Diversey Ave,member,3
Spaulding Ave & 63rd,casual,3
W 103rd St & S Avers Ave,member,3
Western Ave & 62nd St,member,3
Francisco Ave & 85th St,member,4
Harding Ave & 31st St,member,4
Homan Ave & 65th St,member,4
Kildare & Chicago Ave,casual,4
La Villita Park (Albany/30th),member,4
Leamington Ave & Hirsch St,member,4
Marmora Ave & Belmont Ave,member,4
Marmora Ave & Irving Park Rd,member,4
Monitor Ave & Division St,casual,4
Orange & Addison,member,4
Public Rack - 63rd Pl & Narraganssett Ave,member,4
Public Rack - Albany Ave & 63rd St,member,4
Public Rack - Austin Ave & Wellington Ave,member,4
Public Rack - Bell Ave & 95th St,member,4
Public Rack - Buffalo Ave & 133rd St,casual,4
Public Rack - California & 87th,casual,4
Public Rack - California Ave & Touhy Ave - SW,casual,4
Public Rack - Canfield & Victoria,member,4
Public Rack - Central Park Ave & Ogden Ave,member,4
Public Rack - Chappel Ave & 71st St,casual,4
Public Rack - Christiana Ave & Lawrence Ave,casual,4
Public Rack - Cicero & Rosemont,member,4
Public Rack - Cottage Grove & 85th St,member,4
Public Rack - Cottage Grove & 86th St,casual,4
Public Rack - Eberhart Ave & 61st St,casual,4
Public Rack - Ewing Ave & 106th St,casual,4
Public Rack - Exchange Ave & 73rd Pl,member,4
Public Rack - Fullerton Ave & Lavergne Ave,casual,4
Public Rack - Halsted St & 41st St,member,4
Public Rack - Harvard Ave & 119th St,casual,4
Public Rack - Hiawatha Park,casual,4
Public Rack - Homan Ave & Lake St,casual,4
Public Rack - Hoyne Ave & 51st St,casual,4
Public Rack - Imlay & Milwaukee,member,4
Public Rack - Irving Park Rd & Parkside Ave,member,4
Public Rack - Kedvale Ave & 63rd St E,member,4
Public Rack - Kedzie Ave & 62nd Pl,casual,4
Public Rack - Kedzie Ave & 63rd St,member,4
Public Rack - Kedzie Ave & Pershing Rd,member,4
Public Rack - Kedzie Ave & Walnut St,member,4
Public Rack - Keeler Ave & 26th St,casual,4
Public Rack - Kenneth Ave & 63rd St W,casual,4
Public Rack - Kildare Ave & 63rd St,casual,4
Public Rack - Kimbark Ave & 67th St,casual,4
Public Rack - King Dr & 83rd St,member,4
Public Rack - Komensky Ave & 26th St,casual,4
Public Rack - Kostner & 83rd,member,4
Public Rack - Laporte Ave & Armitage Ave,casual,4
Public Rack - Laramie Ave & Warwick Ave,member,4
Public Rack - Lavergne Ave & Belle Plaine Ave,casual,4
Public Rack - Leland Ave & Melvina Ave,casual,4
Public Rack - Marquette Ave & 83rd St,casual,4
Public Rack - Marquette Rd & 67th St,casual,4
Public Rack - Michele Clark Magnet High School,casual,4
Public Rack - Milwaukee Ave & Waveland Ave,casual,4
Public Rack - Morgan St & 87th St,casual,4
Public Rack - Morgan St & 95th St,member,4
Public Rack - Mt Greenwood Library - South,casual,4
Public Rack - Newcastle Ave & Belmont Ave,casual,4
Public Rack - Odell & Talcott,member,4
Public Rack - Osceola Ave & Touhy Ave,casual,4
Public Rack - Prairie Ave & 85th St,casual,4
Public Rack - Pulaski Rd & 41st,casual,4
Public Rack - Racine Ave & 83rd St,casual,4
Public Rack - Rockwell & 111th St,casual,4
Public Rack - Rutherford Ave & Belmont Ave,member,4
Public Rack - Saginaw Ave & 93rd St,casual,4
Public Rack - The Montessori School of Englewood,member,4
Public Rack - Vincennes Ave & 95th Pl,member,4
Public Rack - Vincennes Ave & 95th St,member,4
Public Rack - W. Talcott & N. Oriole,casual,4
Public Rack - Walden Pkwy & 99th St,casual,4
Public Rack - Wentworth Ave & 103rd St,casual,4
Public Rack - West Chatham Park,casual,4
Public Rack - Western & 74th,casual,4
Public Rack - Western Ave & 107th St,casual,4
Public Rack - Western Ave & 111th St - NW,casual,4
Public Rack - Western Ave & 111th St - SW,member,4
Public Rack - Whipple St & 63rd St,casual,4
Public Rack - Wood St & 47th St,member,4
Public Rack - Yates Blvd & Exchange Ave,member,4
Spaulding Ave & 16th,casual,4
Vernon Ave & 107th St,member,4
Yates Blvd & 93rd St,member,4
Archer Ave & Homan Ave,casual,5
Columbus Ave & 83rd Pl,member,5
Harding Ave & Chicago Ave,member,5
Harlem Ave & Bloomingdale Ave,member,5
Kedzie Ave & Archer Ave,casual,5
Kedzie Ave & Jackson Blvd,casual,5
La Villita Park,casual,5
Lexington & California Ave,casual,5
Major Ave & Addison St,member,5
Mango Ave & North Ave,casual,5
Menard Ave & North Ave,member,5
Pine Ave & Division St,member,5
Public Rack - Abbott Park,member,5
Public Rack - Austin Ave & Wellington Ave,casual,5
Public Rack - Avers Ave & Ogden Ave,member,5
Public Rack - Baltimore Ave & 132nd St,casual,5
Public Rack - Baltimore Ave & 133rd St,member,5
Public Rack - Brooks Park,casual,5
Public Rack - Bryn Mawr Ave & Milwaukee Ave,member,5
Public Rack - California & 71st,casual,5
Public Rack - California Ave & Pershing Rd,casual,5
Public Rack - California Ave & Touhy Ave - midblock,casual,5
Public Rack - Canty Elementary School,casual,5
Public Rack - Central Ave & North Ave,casual,5
Public Rack - Central Ave & North Ave,member,5
Public Rack - Chopin Park,member,5
Public Rack - Cicero & Rosemont,casual,5
